job_url	job_title	comapny_name	company_link	location	post_date	fileds	hinh_thuc	salary	experience	position	due_date	benefits	job_description	requirements	others
https://careerviet.vn/vi/tim-viec-lam/bartender.35C016F0.html	Bartender	nu arrows cafe	https://careerviet.vn/vi/nha-tuyen-dung/nu-arrows-cafe.35A9B08A.html	['Đà Nẵng']	08/04/2024	['Nhà hàng / Khách sạn', 'Thực phẩm & Đồ uống', 'Dịch vụ khách hàng']	Thời vụ/ Nghề tự do	Trên  5 Tr VND		Sinh viên/ Thực tập sinh	30/04/2024	[' Chế độ thưởng', ' Đào tạo', ' Tăng lương']	"
Mô tả Công việc
Mục tiêu công việc:Phục vụ khách hàng bằng cách cung cấp thông tin về sản phẩm và dịch vụ; giải quyết các vấn đề liên quan đến dịch vụ và sản phẩm.Nhiệm vụ:* Thu hút khách hàng tiềm năng bằng cách trả lời những câu hỏi liên quan đến sản phẩm và dịch vụ; gợi ý các thông tin về dịch vụ và sản phẩm.* Tạo lập tài khoản khách hàng bằng cách lưu trữ thông tin về khách hàng.* Duy trì hồ sơ lưu của khách hàng bằng cách cập nhật thông tin khách hàng.* Giải quyết các vấn đề liên quan đến sản phẩm và dịch vụ bằng cách làm rõ khiếu nại của khách hàng, xác định nguyên nhân của vấn đề; chọn lựa và lý giải những giải pháp tốt nhất; xúc tiến việc sửa chữa hoặc điều chỉnh; triển khai việc thực hiện giải pháp.* Giới thiệu những sản phẩm hoặc dịch vụ tiềm năng cho ban giám đốc bằng cách thu thập thông tin khách hàng và phân tích nhu cầu khách hàng.* Chuẩn bị báo cáo sản phẩm và dịch vụ bằng cách thu thập và phân tích thông tin khách hàng.* Đóng góp cho nỗ lực của nhóm bằng cách hoàn thành công việc theo yêu cầu đảm bảo kết quả chung.
"	"
Yêu Cầu Công Việc
Dịch vụ khách hàng, Kiến thức về sản phẩm, Chú trọng đến chất lượng, Giải quyết vấn đề, Kiến thức thị trường, Kỹ năng lưu trữ hồ sơ, Lắng nghe, Kỹ năng giao tiếp qua điện thoại, Giải quyết mâu thuẫn, Phân tích thông tin
"	"Phụ cấp khác: 2 meals per day
Thời gian thử việc: aggressive to learn and improve all components
Cơ hội huấn luyện: improving skill while on job site
Độ tuổi: 30 - 45
Thời gian làm việc: 8 hours per day, 6 days per week
Phúc lợi: share tips with co-worker
Ngày nghỉ: negotiables
Lương: Trên 5 Tr VND"
https://careerviet.vn/vi/tim-viec-lam/graphic-design-intern.35C016E3.html	Graphic Design Intern	CÔNG TY CỔ PHẦN VNETWORK	https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-vnetwork.35A98C82.html	['Hồ Chí Minh']	08/04/2024	['Tiếp thị / Marketing']	Thực tập	2 Tr - 5 Tr VND		Sinh viên/ Thực tập sinh	27/04/2024	[' Đào tạo']	"
Mô tả Công việc
Lên ý tưởng và thực thi các thiết kế như bộ nhận diện thương hiệu, các ấn phẩm, banner, video truyền thông,...đảm bảo các tiêu chí thiết kế của Công ty.
Theo dõi các hoạt động in ấn để đảm bảo các sản phẩm thiết kế đạt yêu cầu về chất lượng và tính thẩm mỹ.
Chụp ảnh, quay video tạo nguồn tài liệu thiết kế tại các buổi sự kiện, hoạt động của Công ty.
Quản lý & bảo toàn các dữ liệu thiết kế.
Đóng góp ý tưởng cho các sự kiện và chiến dịch Marketing của Công ty.
Luôn cập nhật nắm bắt xu hướng thiết kế để tăng hiệu quả và chất lượng sản phẩm.
Thực hiện các công việc khác theo sự phân công của Trưởng bộ phận.
"	"
Yêu Cầu Công Việc
Sinh viên năm 3/4 chuyên ngành Marketing, Design hoặc các ngành tương tự
Sử dụng được các phần mềm thiết kế như Photoshop, AI, Premiere, Illustrator,...
Kỹ năng chụp ảnh, quay video clip.
Có tư duy thẩm mỹ tốt, khả năng sáng tạo cao.
Kỹ năng lắng nghe, tính kiên nhẫn, tỉ mỉ trong công việc.
Khả năng giao tiếp & trình bày.
Kiên nhẫn, quản lý cảm xúc cá nhân tốt
"	"Độ tuổi: Không giới hạn tuổi
Lương: 2 Tr - 5 Tr VND"
https://careerviet.vn/vi/tim-viec-lam/nhan-vien-pha-che.35C016DA.html	Nhân Viên Pha Chế	CÔNG TY CỔ PHẦN NSQ HOLDING	https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-nsq-holding.35A973E9.html	['Hồ Chí Minh']	08/04/2024	['Dịch vụ khách hàng', 'Thực phẩm & Đồ uống', 'Nhà hàng / Khách sạn']	Nhân viên chính thức	5 Tr - 7 Tr VND		Mới tốt nghiệp	01/05/2024	[' Chế độ bảo hiểm', ' Phụ cấp', ' Chế độ thưởng', ' Đào tạo', ' Tăng lương', ' Nghỉ phép năm', ' CLB thể thao']	"
Mô tả Công việc
1. Sản phẩm:
- Đảm bảo sản phẩm được đưa đến tay khách hàng là sản phẩm tốt nhất, hoàn hảo nhất theo công thức được hướng dẫn
- Kiểm soát chặt chẽ chất lượng nguyên vật liệu trong suốt ca làm việc
- Hiểu và kể được những câu chuyện về các sản phẩm được chế biến
- Đóng góp ý kiến, sáng tạo sản phẩm mới khi được yêu cầu
2. Kết quả kinh doanh:
- Đảm bảo và rút ngắn thời gian chế biến sản phẩm trong khả năng cho phép mà vẫn đảm bảo được chất lượng sản phẩm
- Nâng cao số lượng sản phẩm chế biến trong thời gian làm việc
3. Đảm bảo quy trình quy định:
- Tham gia các buổi đào tạo, huấn luyện, thi sát hạch do công ty tổ chức
- Thực hiện đúng theo các quy trình, quy định cửa hàng trong ca làm việc
- Giúp đỡ, nhắc nhở, hỗ trợ đồng nghiệp trong quá trình làm việc
- Hướng dẫn các bạn đồng nghiệp mới khi được yêu cầu
4. Giữ gìn không gian, vệ sinh, tài sản vật chất cửa hàng:
- Thực hiện các nguyên tắc về an toàn vệ sinh thực phẩm trong thời gian làm việc
- Giữ gìn môi trường, công cụ dụng cụ làm việc sạch sẽ, gọn gàng, ngăn nắp
- Bảo quản tài sản, cơ sở vật chất, nguyên vật liệu theo hướng dẫn
"	"
Yêu Cầu Công Việc
- Có thái độ tích cực, ham học hỏi, trung thực và chịu khó.
- Có khả năng làm việc nhóm và chịu được áp lực.
- Có khả năng giao tiếp tốt, khéo léo. Đặc biệt là giao tiếp Tốt Tiếng Anh. (Chủ yếu làm việc với người nước ngoài nên cần giao tiếp tốt Tiếng Anh)
- Có tinh thần trách nhiệm cao đối với công việc và cửa hàng.
- Số lượng tuyển: 2
"	"Giới tính: Nam
Thời gian thử việc: 02 tháng
Cơ hội huấn luyện: Được đào tạo các khóa để nâng cao bản thân và lĩnh vực
Độ tuổi: 18 - 27
Thời gian làm việc: Ca làm việc: từ 16h00 – 00h00. Làm việc 8h/ngày, 6 ngày/tuần
Ngày nghỉ: Đăng ký nghỉ 1 ngày/tuần (đăng ký nghỉ 1 ngày từ Thứ 2 - Thứ 5)
Lương: 5 Tr - 7 Tr VND"
https://careerviet.vn/vi/tim-viec-lam/tts-ops-hien-truong.35C0166E.html	TTS OPS Hiện Trường	Công Ty TNHH Vận Tải Bách Việt	https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-van-tai-bach-viet.35A9627D.html	['Hải Phòng']	08/04/2024	['Vận chuyển / Giao nhận /  Kho vận']	Thực tập	6,8 Tr - 8 Tr VND		Sinh viên/ Thực tập sinh	30/04/2024	[' Chế độ bảo hiểm', ' Du Lịch', ' Phụ cấp', ' Chế độ thưởng', ' Chăm sóc sức khỏe', ' Đào tạo', ' Tăng lương', ' Công tác phí', ' Nghỉ phép năm']	"
Mô tả Công việc
- Nội dung công việc có hướng dẫn đào tạo cặn kẽ:
- Làm thủ tục hải quan, làm thủ tục thông quan hàng hóa tại chi cục hải quan cửa khẩu;
- Chạy kiểm hóa;
- Chịu trách nhiệm giao – nhận bộ chứng từ xuất – nhập từ sales/docs. Đồng thời chịu trách nhiệm hoàn thành các thủ tục cần thiết cho việc xuất hoặc nhập hàng cho công ty như nộp thuế, thông quan hải quan,...
- Làm việc với các bên điều vận hàng hóa;
- Xin giấy phép, kiểm tra chuyên nghành, thử tục hải quan 1 số chi cục tại HP;
- Hỗ trợ lấy lệnh khi cần;
- Thực hiện các công việc khác có liên quan theo yêu cầu của cấp trên.
"	"
Yêu Cầu Công Việc
- 
NAM
.
 Tốt nghiệp từ Cao đẳng trở lên, học các ngành liên quan đến xuất nhập khẩu, logistics, sinh năm 2001 - 2003;
- Có thể làm được fulltime;
- Nhanh nhẹn, nắm bắt công việc tốt;                   
- Sử dụng tốt máy vi tính, khả năng giao tiếp tốt;
- Hết mình với công việc, trung thực, mong muốn làm việc ổn định lâu dài.
"	"Bằng cấp: Cao đẳng
Giới tính: Nam
Độ tuổi: 21 - 22
Lương: 6,8 Tr - 8 Tr VND"
https://careerviet.vn/vi/tim-viec-lam/host-live-streamer.35C01594.html	Host Live Streamer	CONG TY TNHH THUONG MAI KOMA	https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-thuong-mai-koma.35A9AF98.html	['Hồ Chí Minh']	07/04/2024	['Hàng gia dụng / Chăm sóc cá nhân']	Nhân viên chính thức	15 Tr - 20 Tr VND		Sinh viên/ Thực tập sinh	31/05/2024	[' Chế độ thưởng']	"
Mô tả Công việc
Job Description:
1. Familiar with marketing, have experience in selling products in the online store ofTiktok
2. Have good communication skills, cheerful and pleasant personality
3. Have a strong desire to learn and increase sales and like the goal
4. English is preferred (daily conversation)
"	"
Yêu Cầu Công Việc
Working conditions:
1. Good looking, able to adjust in front of the camera (camera confidence)
2. Inexperienced applicants can apply as long as they have good learning ability. Experienced applicants are preferred
3. Prepare for live broadcast on weekends (Saturdays and Sundays) and national holidays.
4. Willing to work night/morning shift 1 month 6 days off 8 hours work per day (5-6 hours live, 2-3 hours per show)
"	"Độ tuổi: Không giới hạn tuổi
Lương: 15 Tr - 20 Tr VND"
https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ban-hang.35C014DE.html	Nhân Viên Bán Hàng	Công Ty TNHH Đầu Tư Thương Mại Và Dịch Vụ Hoàng Cương	https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-dau-tu-thuong-mai-va-dich-vu-hoang-cuong.35A9AEB1.html	['Đà Nẵng']	06/04/2024	['Bán hàng / Kinh doanh']	Nhân viên chính thức	8 Tr - 12 Tr VND		Mới tốt nghiệp	05/05/2024	[' Laptop', ' Chế độ bảo hiểm', ' Du Lịch', ' Đồng phục', ' Chế độ thưởng', ' Chăm sóc sức khỏe', ' Đào tạo', ' Tăng lương', ' Phụ cấp thâm niên', ' CLB thể thao']	"
Mô tả Công việc
- Làm việc tại showroom trưng bày thiết bị nhà bếp: bếp từ, hút mùi, lò nướng, lò vi sóng, máy rửa bát, tủ lạnh, máy giặt,....
- Tư vấn, bán hàng, hỗ trợ khách hàng về các sản phẩm trong hệ thống của Công ty - lĩnh vực thiết bị gia dụng nhà bếp.
- Nhân viên bán hàng trực tiếp tại cửa hàng và qua các kênh online, Fanpage, phần mềm chat của hệ thống,...
- Sắp xếp, chỉnh trang quầy kệ trưng bày sản phẩm hàng ngày. Quản lý giấy tờ tại cửa hàng,...
"	"
Yêu Cầu Công Việc
- Nam/Nữ từ 18 – 28 tuổi. THÀNH THẠO sử dụng tin học văn phòng (Word, Excel,...) và máy tính nói chung
- Ưu tiên những ứng viên có kinh nghiệm bán hàng và có thể tăng ca khi cần.
- Kỹ năng giao tiếp, xử lý tình huống tốt
- Có sức khỏe tốt, ngoại hình dễ nhìn
- Tính kỷ luật, trách nhiệm cao. Chịu được áp lực công việc
"	"Bằng cấp: Cao đẳng
Độ tuổi: 20 - 28
Lương: 8 Tr - 12 Tr VND"
https://careerviet.vn/vi/tim-viec-lam/market-research-intern.35C014A1.html	Market Research Intern	IDEAL LIFE JSC - CÔNG TY CỔ PHẦN TƯ VẤN IDEAL LIFE	https://careerviet.vn/vi/nha-tuyen-dung/ideal-life-jsc-cong-ty-co-phan-tu-van-ideal-life.35A95B41.html	['Hồ Chí Minh']	06/04/2024	['Tiếp thị / Marketing', 'Bảo hiểm', 'CNTT - Phần mềm']	Thực tập	2 Tr - 3 Tr VND		Sinh viên/ Thực tập sinh	28/04/2024	[' Laptop', ' Phụ cấp', ' Đào tạo']	"
Mô tả Công việc
Support in conducting research, collecting, synthesizing, and analyzing competitor activities and market information in the insurance industry.
Managing operational procedures for the Sales freelance channel in general (including sales promotion, demotion, termination, etc.).
Supporting the coordination and organization of events for the sales freelance channel.
Assisting in generating reports related to sales performance.
Supporting the implementation of company projects/business campaigns (as requested).
Performing other tasks as requested by the direct manager. 
"	"
Yêu Cầu Công Việc
EDUCATION QUALIFICATION 
•   Available for full-time work from Monday to Friday (compulsory)
•   Committed to participating in the internship for 3 months.
•   3rd year or final year students in Marketing/Computer Science/Insurance or relevant majors,...
 
REQUIRED SKILLS
•   Strong communication and presentation skills.
•   Strong skills in conducting research and making reports.
•   Intermediate proficiency in Excel and PowerPoint. Knowledgeable in using automation tools. 
•   Fluent in English, equivalent to TOEIC 450 (certificate is not required) 
•   Detail-oriented with strong problem-solving abilities. 
•   Highly adaptable, with a supportive spirit and proactive approach.
BENEFITS
•   3,000,000 VND Internship Allowance
•   Internship Confirmation Certificate (upon request)
•   Can be considered to promote to an official position (depends on headcount context)
"	"Bằng cấp: Đại học
Độ tuổi: Không giới hạn tuổi
Lương: 2 Tr - 3 Tr VND"
https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-hanh-chinh-product-operation-intern.35C0149C.html	Thực Tập Sinh Hành Chính (Product Operation Intern)	IDEAL LIFE JSC - CÔNG TY CỔ PHẦN TƯ VẤN IDEAL LIFE	https://careerviet.vn/vi/nha-tuyen-dung/ideal-life-jsc-cong-ty-co-phan-tu-van-ideal-life.35A95B41.html	['Hồ Chí Minh']	06/04/2024	['Bán hàng / Kinh doanh', 'Hành chính / Thư ký', 'Bảo hiểm']	Thực tập	2 Tr - 3 Tr VND		Sinh viên/ Thực tập sinh	21/04/2024	[' Laptop', ' Phụ cấp', ' Đào tạo']	"
Mô tả Công việc
Receive, track, and follow up on the progress of various documents (contracts, addendums, agreements, official letters, etc.).
Coordinate document reviews and approvals, ensuring timely completion and submission for CEO's signature.
Organize, archive, and maintain complete and orderly documentation records.
Input data for tracking and report progress as needed.
Provide assistance with additional tasks and projects as assigned.
"	"
Yêu Cầu Công Việc
EDUCATION:
Available for full-time work from Monday to Friday (compulsory).
Committed to participating in the internship for 3 months.
Third-year or final-year students in Business Administration/Commerce/Management, or related disciplines will be given preference.
REQUIRED SKILLS:
Strong attention to detail and organizational skills.
Good communication skills.
Proficient in Microsoft Office: Word, PowerPoint, Excel.
BENEFITS:
Internship Allowance (2,000,000 - 3,000,000) 
Internship Confirmation Certificate (upon request)
"	"Bằng cấp: Cao đẳng
Độ tuổi: Không giới hạn tuổi
Lương: 2 Tr - 3 Tr VND"
https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ky-thuat-dien_-dien-lanh.35C0149D.html	Nhân Viên Kỹ Thuật Điện_ Điện Lạnh	CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ SINH THỊNH	https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-thuong-mai-va-dich-vu-sinh-thinh.35A8C432.html	['Đồng Nai']	06/04/2024	['Điện / Điện tử / Điện lạnh', 'Bảo trì / Sửa chữa']	Nhân viên chính thức	8 Tr - 15 Tr VND		Mới tốt nghiệp	30/04/2024	[' Chế độ bảo hiểm', ' Du Lịch', ' Phụ cấp', ' Đồng phục', ' Chế độ thưởng', ' Đào tạo', ' Tăng lương', ' Công tác phí', ' Nghỉ phép năm']	"
Mô tả Công việc
Kiểm tra và bảo dưỡng hệ thống máy móc, hệ thống lắp đặt điện, hệ thống điện lạnh, điều hòa, đường ống nhà xưởng theo yêu cầu của khách hàng;
Tiến hành sửa chữa, khắc phục sự cố theo yêu cầu của khách hàng;
Hàng ngày theo dõi và ghi chép lại các tiêu chuẩn đo lường khác nhau, đo nhiệt độ, đường ống, các trang thiết bị khác, điều chỉnh khi cần thiết để hoạt động theo đúng chức năng;
Lên kế hoạch bảo dưỡng thiết bị định kỳ theo yêu cầu của công ty;.
Chuẩn bị dụng cụ cho việc kiểm tra định kỳ các máy móc và trang thiết bị như: kiểm tra hệ thống báo cháy, kiểm tra định kỳ hàng năm hệ thống máy móc.
Thực hiện các công việc khác theo yêu cầu của trưởng bộ phận và thực hiện báo cáo công việc theo quy trình quy định theo sự chỉ đạo của trưởng bộ phận.
"	"
Yêu Cầu Công Việc
Tốt nghiệp Đại học, Cao đẳng trở lên chuyên ngành Nhiệt lạnh, Điện Công Nghiệp, tự động hóa;
Ưu tiên ứng viên: Có kinh nghiệm 01 năm về bảo trì sửa chữa hệ thống điện, điện lạnh công nghiệp;
Nhanh nhẹn hoạt bát trong giao tiếp, chăm chỉ, tỉ mỉ cẩn thận trong kỹ thuật, tác phong chuyên nghiệp;
Sẵn sàng làm thêm giờ, đi công tác theo yêu cầu của công việc;
Chủ động, quyết liệt trong công việc
"	"Bằng cấp: Cao đẳng
Giới tính: Nam
Độ tuổi: 22 - 36
Lương: 8 Tr - 15 Tr VND"
https://careerviet.vn/vi/tim-viec-lam/nhan-vien-tap-su-khach-hang-ca-nhan-doanh-nghiep.35C0149A.html	Nhân Viên Tập Sự Khách Hàng Cá Nhân/Doanh Nghiệp	Ngân Hàng TMCP Tiên Phong (TPBank)	https://careerviet.vn/vi/nha-tuyen-dung/ngan-hang-tmcp-tien-phong-tpbank.35A59CC2.html	['Hà Nội', 'Hồ Chí Minh']	06/04/2024	['Bán hàng / Kinh doanh', 'Ngành khác', 'Mới tốt nghiệp / Thực tập']	Nhân viên chính thức	Cạnh tranh		Mới tốt nghiệp	15/05/2024	[' Chế độ bảo hiểm', ' Du Lịch', ' Phụ cấp', ' Đồng phục', ' Chế độ thưởng', ' Chăm sóc sức khỏe', ' Đào tạo', ' Tăng lương', ' Công tác phí', ' Phụ cấp thâm niên', ' Nghỉ phép năm']	"
Mô tả Công việc
Mô tả công việc:
Tìm kiếm và phát triển khách hàng cá nhân/ doanh nghiệp.
Hỗ trợ thu thập thông tin khách hàng, hoàn thiện các thủ tục cung cấp sản phẩm dịch vụ tới khách hàng theo quy định TPBank.
Tham gia các công việc của ĐVKD nhằm góp phần tăng chất lượng, hiệu quả kinh doanh, hoạt động của đơn vị và doanh thu hoạt động (TOI) từ nhóm khách hàng được giao.
Cập nhật, theo dõi tình trạng Khách hàng
Thực hiện các công việc khác có liên quan theo yêu cầu của Giám đốc ĐVKD
	
Mô tả công việc:
Tìm kiếm và phát triển khách hàng cá nhân/ doanh nghiệp.
Hỗ trợ thu thập thông tin khách hàng, hoàn thiện các thủ tục cung cấp sản phẩm dịch vụ tới khách hàng theo quy định TPBank.
Tham gia các công việc của ĐVKD nhằm góp phần tăng chất lượng, hiệu quả kinh doanh, hoạt động của đơn vị và doanh thu hoạt động (TOI) từ nhóm khách hàng được giao.
Cập nhật, theo dõi tình trạng Khách hàng
Thực hiện các công việc khác có liên quan theo yêu cầu của Giám đốc ĐVKD
"	"
Yêu Cầu Công Việc
Yêu cầu: 
Sinh viên năm 4 đại học hoặc đã tốt nghiệp, ưu tiên sinh viên các trường khối ngành Kinh tế, Ngân hàng, Tài chính
"	"Bằng cấp: Đại học
Độ tuổi: Không giới hạn tuổi
Lương: Cạnh tranh"
